Department,Sub-Department,Skills,Experience,Job Role
Human Resources,Recruitment,"Job Posting, Talent Acquisition, Employee Onboarding, Interviewing, Hiring Strategy",3-5 years in HR management,Recruitment Specialist
Professional Services,Support Services,"Customer Service, Customer Communication, Incident Management, Technical Support",2-3 years in project management,Support Services Specialist
Finance,General Ledger,"Audit Preparation, Financial Accounting, Account Reconciliation, Journal Entries, Month-End Closing",3-5 years in budgeting,General Ledger Specialist
Administration,Facilities Maintenance,"Vendor Management, Building Repairs, Inventory Control, Preventive Maintenance",3-5 years in facility maintenance,Facilities Maintenance Specialist
Professional Services,Infrastructure Design Consulting,"Cloud Computing, Data Center Planning, Virtualization, Network Architecture, IT Infrastructure",3-5 years in infrastructure design,Infrastructure Design Consulting Specialist
Product Development,Education Solutions,"Cloud Solutions, System Integration, Software Development, Java, Data Analytics",2-3 years in software development,Education Solutions Specialist
Product Management,Quality Management,"Compliance Standards, Process Improvement, Quality Assurance, Test Automation, Regulatory Requirements",2-3 years in marketing,Quality Management Specialist
Finance,Budgeting,"Cost Analysis, Financial Reporting, Cash Flow Management, Risk Management, Budget Planning",3-5 years in accounting,Budgeting Specialist
Administration,Facilities Maintenance,"Building Repairs, Vendor Management, Inventory Control, Facility Operations",2-3 years in office management,Facilities Maintenance Specialist
Administration,Facilities Maintenance,"Building Repairs, Inventory Control, Facility Operations, Preventive Maintenance, Vendor Management",3-5 years in facility maintenance,Facilities Maintenance Specialist
Professional Services,Documentation,"Business Requirements, Product Documentation, Technical Writing, Knowledge Management, Process Documentation",3-5 years in infrastructure design,Documentation Specialist
Professional Services,PMO,"Risk Management, Stakeholder Communication, Project Management, Agile Methodology, Project Scheduling",2-3 years in project management,PMO Specialist
Product Development,Front-End,"JavaScript, Angular, Vue.js, HTML5, CSS3, React.js",2-3 years in software development,Front-End Specialist
Professional Services,Support Services,"Incident Management, Customer Service, IT Troubleshooting, Customer Communication, Technical Support",5-7 years in technical support,Support Services Specialist
Administration,Admin Office,"Event Planning, Scheduling, Document Management, Client Communication",3-5 years in facility maintenance,Admin Office Specialist
Product Management,Marketing/Communication,"Content Marketing, SEO Optimization, Brand Development, Public Relations, Social Media Strategy",2-3 years in marketing,Marketing/Communication Specialist
Professional Services,Documentation,"Process Documentation, Technical Writing, Product Documentation, Business Requirements, Knowledge Management",5-7 years in technical support,Documentation Specialist
Finance,Cash Management,"Cash Flow Forecasting, Bank Reconciliation, Investment Analysis, Liquidity Management",3-5 years in accounting,Cash Management Specialist
Business Development,MENAT/Gulf,"Sales Territory Management, Multilingual Communication, Regional Marketing, Market Penetration, Customer Acquisition",2-3 years in market analysis,MENAT/Gulf Specialist
Administration,Admin Office,"Event Planning, Client Communication, Scheduling, Document Management, Office Management",2-3 years in security management,Admin Office Specialist
Administration,Admin Office,"Document Management, Client Communication, Office Management, Event Planning, Scheduling",3-5 years in facility maintenance,Admin Office Specialist
Product Development,Data Base,"Database Optimization, Database Security, ETL Processes, SQL Database",3-5 years in mobile app development,Data Base Specialist
Professional Services,Documentation,"Knowledge Management, Process Documentation, Product Documentation, Business Requirements, Technical Writing",3-5 years in infrastructure design,Documentation Specialist
Product Management,Education Solutions,"Product Roadmap, Market Research, User Research, Business Strategy, Customer Analysis",2-3 years in marketing,Education Solutions Specialist
Product Development,Data Base,"Database Optimization, ETL Processes, Database Security, SQL Database",3-5 years in mobile app development,Data Base Specialist
Human Resources,HRIS,"HR Information Systems, Benefits Administration, Employee Records Management, Data Analytics, HR Software Integration",3-5 years in HR management,HRIS Specialist
Product Management,ERP/ERP/PMS Solutions,"Customer Support, ERP Deployment, Vendor Management, Agile Development, Product Lifecycle Management",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Professional Services,Infrastructure Design Consulting,"Data Center Planning, Network Architecture, Virtualization, IT Infrastructure, Cloud Computing",2-3 years in project management,Infrastructure Design Consulting Specialist
Professional Services,Support Services,"Customer Service, Incident Management, Customer Communication, Technical Support, IT Troubleshooting",5-7 years in technical support,Support Services Specialist
Administration,Admin Office,"Office Management, Document Management, Scheduling, Client Communication, Event Planning",2-3 years in office management,Admin Office Specialist
Product Management,Education Solutions,"Market Research, User Research, Product Roadmap, Business Strategy",2-3 years in marketing,Education Solutions Specialist
Product Development,Data Base,"SQL Database, Database Security, ETL Processes, Database Optimization, NoSQL Databases",3-5 years in mobile app development,Data Base Specialist
Human Resources,Personnel,"Compliance Management, Workforce Planning, HR Policies, Employee Relations, Payroll Management",2-3 years in recruitment,Personnel Specialist
Administration,Facilities Maintenance,"Facility Operations, Inventory Control, Vendor Management, Building Repairs, Preventive Maintenance",3-5 years in facility maintenance,Facilities Maintenance Specialist
Professional Services,PMO,"Stakeholder Communication, Agile Methodology, Project Management, Risk Management",5-7 years in technical support,PMO Specialist
Product Management,Education Solutions,"Business Strategy, Market Research, Product Roadmap, Customer Analysis",3-5 years in product management,Education Solutions Specialist
